date,China,S_Korea,UK,Mexico,Philippines,Japan,France,Taiwan,Brazil
1997,3206,900,6927,2785,2653,2929,1894,1420,1078
1998,3880,940,6342,2320,2759,2878,2110,1693,1323
1999,5775,1911,6664,2418,3064,3338,2429,2209,1581
2000,7489,2296,7304,2404,3102,3781,2803,2712,1913
2001,9076,2899,8462,2915,4470,4096,3450,2906,2367
2002,7576,2989,6842,2990,3387,3772,2913,2642,2155
2003,5608,2892,6095,2664,3027,3836,2573,2039,2011
2004,6583,3422,6557,3016,3467,4214,2715,2662,2174
2005,7113,3838,5617,2505,2849,4073,2627,2483,1972
2006,9451,3924,4805,2699,2823,3795,2373,2537,2039
2007,10761,3788,4475,2905,4279,3516,2190,2506,1938
2008,9141,3257,3082,2421,3998,2610,1770,1945,1483
2009,9223,3233,2901,2190,3676,2505,1662,2057,1466
2010,11242,3656,3553,2494,3173,2430,1951,2061,1613
2011,10849,3501,3660,2647,2369,2054,2069,1705,1614
2012,11077,3131,3019,3543,2026,1907,1855,1692,1583
2013,12632,3000,2699,3686,2160,1698,1782,1560,1451
2014,14871,2727,2509,3243,1700,1369,1709,1505,1352
2015,18306,2526,2111,2894,1432,1146,1594,1448,1258
2016,21657,2377,1769,2540,1455,1011,1479,1425,1253