name,value,cgroup,year
CISCO SYS INC,41372,us-tech,2016
INTEL CORP,21025,us-tech,2016
APPLE INC,58563,us-tech,2016
GOOGLE INC,51882,us-tech,2016
AMAZON CORPORATE LLC,35257,us-tech,2016
MICROSOFT CORP,46096,us-tech,2016
IBM CORPORATION,-725,us-tech,2016
SYNTEL CONSULTING INC,-12885,us-outsource,2016
COGNIZANT TECH SOLNS,4304,us-outsource,2016
JP MORGAN CHASE & CO,31469,us-firm,2016
ERNST & YOUNG U S LLP,16316,us-firm,2016
DELOITTE CONSULTING LLP,22558,us-firm,2016
LARDEN & TOUBRO INFOTECH LTD,-3357,foreign-outsource,2016
CAPGEMINI AMERICA INC.,-8333,foreign-outsource,2016
TECH MADHINDRA AMERICAS INC,-3263,foreign-outsource,2016
HCL AMERICA INC,3980,foreign-outsource,2016
WIPRO LTD,-6063,foreign-outsource,2016
ACCENTURE LLP,-584,foreign-outsource,2016
TATA CONSULTANCY SVCS LTD,-8181,foreign-outsource,2016
INFOSYS LTD,4344,foreign-outsource,2016
CISCO SYS INC,39723,us-tech,2015
INTEL CORP,23722,us-tech,2015
APPLE INC,57090,us-tech,2015
GOOGLE INC,52872,us-tech,2015
AMAZON CORPORATE LLC,32412,us-tech,2015
MICROSOFT CORP,42944,us-tech,2015
IBM CORPORATION,-2484,us-tech,2015
SYNTEL CONSULTING INC,-12389,us-outsource,2015
COGNIZANT TECH SOLNS,4351,us-outsource,2015
JP MORGAN CHASE & CO,30764,us-firm,2015
ERNST & YOUNG U S LLP,12583,us-firm,2015
DELOITTE CONSULTING LLP,19078,us-firm,2015
LARDEN & TOUBRO INFOTECH LTD,-1175,foreign-outsource,2015
CAPGEMINI AMERICA INC.,10312,foreign-outsource,2015
TECH MADHINDRA AMERICAS INC,-4544,foreign-outsource,2015
HCL AMERICA INC,3317,foreign-outsource,2015
WIPRO LTD,-5289,foreign-outsource,2015
ACCENTURE LLP,-1767,foreign-outsource,2015
TATA CONSULTANCY SVCS LTD,-8748,foreign-outsource,2015
INFOSYS LTD,4156,foreign-outsource,2015